"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"LOC645188"	"LOC645188"	0.282869917775121	3.99905906307143	4.06461554168594	9.79673985481994e-05	0.0235636363758408	1.20504416198323
"RARRES2"	"RARRES2"	-1.17317943029665	7.91279574533673	-4.06378549826489	9.82653589848471e-05	0.0235636363758408	1.20234409568599
"CCDC81"	"CCDC81"	0.28846140936842	4.48582907711225	4.05873068598778	0.000100098724258663	0.0235636363758408	1.18590937158182
"ZNF404"	"ZNF404"	1.05615987809569	4.34362283058163	4.05789509527857	0.000100404931294769	0.0235636363758408	1.18319396844218
"TMEM167A"	"TMEM167A"	0.605309207559804	9.28921556592857	4.05029889880429	0.00010323008901408	0.0239481940985193	1.15852640907517
"ANXA2P2"	"ANXA2P2"	-0.768514366210525	10.5444651261122	-4.04336050671086	0.00010587704496604	0.0241809806436332	1.13602281152307
"SPRED1"	"SPRED1"	-0.566062855349281	7.37391202573469	-4.04141793178591	0.000106629702090044	0.0241809806436332	1.12972714038394
"LOC101928461"	"LOC101928461"	0.358971193191389	4.67961724406122	4.0214481542712	0.000114670230160053	0.0257154361702261	1.06512856997614
"HEPH"	"HEPH"	-0.975723932325356	7.11498350917347	-4.00663630188677	0.000121005734616848	0.026838008151339	1.01735819314803
"HIST1H2BK"	"HIST1H2BK"	-1.38222916789952	9.44154428589796	-4.00024378822751	0.000123842341119918	0.0271685866393838	0.996779236571428
"COL3A1"	"COL3A1"	-1.49454192188995	11.7058290184286	-3.99327863252303	0.000127005484261611	0.0275629213855063	0.974382844992855
"FBLN2"	"FBLN2"	-1.07527315741148	9.02378172243878	-3.97446724334458	0.000135939536966638	0.0291152982572163	0.914031051893937
"NOTCH2NLA"	"NOTCH2NLA"	-0.7263411504067	9.93711430288776	-3.97222496091388	0.000137043716713846	0.0291152982572163	0.906850509211651
"ZNF781"	"ZNF781"	0.179984105564594	3.94368024297959	3.95699693191357	0.000144772690104928	0.0304369500457059	0.858160305046862
"ECM1"	"ECM1"	-1.14031177908612	8.50328783673469	-3.95275495840356	0.000146998858464043	0.0305786766881059	0.844620338968921
"MYOD1"	"MYOD1"	0.73597508466029	5.43475285186735	3.94473541735526	0.000151297212652454	0.0305786766881059	0.819050611366165
