"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ADH1B"	"ADH1B"	-6.09168982747334	8.48760395626531	-31.7069361326399	1.50598871348026e-53	4.74927659440187e-51	111.798000983962
"ISL1"	"ISL1"	6.55063786075552	7.76820773937755	31.6094420960985	1.98651152167629e-53	6.16827108338346e-51	111.522027618919
"SERPINB7"	"SERPINB7"	-5.42935160539889	9.0699086734898	-31.5641538035153	2.25976280647417e-53	6.9104231398588e-51	111.393587266672
"GATA3"	"GATA3"	-4.90746921527022	8.11175079519388	-31.5468370082045	2.37400765165962e-53	7.15143230349941e-51	111.344434747318
"LRP8"	"LRP8"	5.47633536058273	6.53570409937755	31.4365090673492	3.25218057900793e-53	9.65275891560545e-51	111.030742151438
"IL6ST"	"IL6ST"	-3.36685679719301	8.7667306577449	-31.4206885095175	3.40257765545377e-53	9.95278620580049e-51	110.985684071995
"INPP5A"	"INPP5A"	-2.33479625903124	6.08039831985714	-31.156043262085	7.26844023935826e-53	2.09569899072811e-50	110.229116507671
"KRT2"	"KRT2"	-7.72150067849448	10.8205275609082	-30.9885910747194	1.17814483650666e-52	3.34908411763575e-50	109.747618405369
"CLDN1"	"CLDN1"	-6.18385289636029	9.49328024882653	-30.8922187892202	1.5571776992781e-52	4.36507187562915e-50	109.469519369477
"CD164"	"CD164"	-3.39097659456525	8.47903501935714	-30.6992692021992	2.72773759026015e-52	7.54163394304392e-50	108.910548606526
"DSG1"	"DSG1"	-7.435136508125	9.8412634347449	-30.6215709537066	3.42132166810428e-52	9.33142367937145e-50	108.684632374158
"MATN2"	"MATN2"	-4.70825636056249	8.77605794804082	-30.6148982162846	3.48861639241076e-52	9.3880992864035e-50	108.665208446228
"TSPAN8"	"TSPAN8"	-5.50185464176837	8.66343056161224	-30.5064810483301	4.78969896236701e-52	1.27198018628228e-49	108.34911913591
"CAVIN2"	"CAVIN2"	-2.90844345019485	5.63016567606122	-30.4144909354749	6.27216377040719e-52	1.64404001789777e-49	108.080191220907
"PTPN13"	"PTPN13"	-3.55833648980055	7.05289898623469	-30.3907121313057	6.72567583958951e-52	1.74031173680045e-49	108.01056562515
"CAPNS2"	"CAPNS2"	-4.43615241712131	8.7919372224898	-30.3501078254668	7.57795081670787e-52	1.93602254852677e-49	107.89156974663
"ISM1"	"ISM1"	-3.75626087665532	7.91900452884694	-30.3296076853375	8.0488468039112e-52	2.03062343804175e-49	107.831441529865
"ANG"	"ANG"	-2.63541961917186	6.61957174404082	-30.1750274571384	1.26945825957191e-51	3.16314519172097e-49	107.376963008622
"DNAJC3"	"DNAJC3"	-4.52934916497334	8.27727165514286	-30.1374931826491	1.41837498646432e-51	3.49110516485479e-49	107.266319203736
"TMOD3"	"TMOD3"	-2.33932870983455	6.31713188958163	-30.0562422408273	1.8040014149468e-51	4.38676633227365e-49	107.026417403654
"ITPRID2"	"ITPRID2"	-2.9772765253272	5.8991791200102	-29.9493040184469	2.47770728209421e-51	5.95328167553661e-49	106.70985595968
"PLN"	"PLN"	-4.01521037474908	7.70802723465306	-29.7750980706455	4.16295223792457e-51	9.88480764918018e-49	106.192171844491
"SNX21"	"SNX21"	-3.59094127558823	7.51349879441837	-29.7234810620308	4.85708740944909e-51	1.13989064168501e-48	106.038305535698
"CXADR"	"CXADR"	-2.39829175419117	6.30808413373469	-29.697053625282	5.25656850701606e-51	1.21934815916199e-48	105.959442646518
"AGTR1"	"AGTR1"	-4.52045445847518	7.6428640432551	-29.6932655182842	5.31648605292848e-51	1.21934815916199e-48	105.948133736626
"PAMR1"	"PAMR1"	-3.19268785273344	8.0309732627551	-29.6808327235573	5.5180249829443e-51	1.25135166551421e-48	105.911008913311
"WFDC5"	"WFDC5"	-5.61773663257261	8.44039100804082	-29.6634105989424	5.81348333006543e-51	1.30370593389678e-48	105.858964329095
"HPGDS"	"HPGDS"	-3.39964983523069	6.82167104467347	-29.604610019289	6.93376968706708e-51	1.53784916037445e-48	105.683126308031
"CAT"	"CAT"	-2.9929546063419	8.78132560803061	-29.4458493882004	1.11741871680452e-50	2.451398039268e-48	105.20693701762
"E2F7"	"E2F7"	4.93395234571691	5.80734921556122	29.436481922318	1.14940241698865e-50	2.49445042818085e-48	105.178774685159
"TYRP1"	"TYRP1"	-6.408147702443	9.38124642235714	-29.4063845169107	1.25855409550714e-50	2.70227630953411e-48	105.088240431437
